logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
IBM-sim,TSP105,TSP,16,2,0
IBM-sim,MWC81,MWC,5,1,1
IBM-sim,UDMIS012EXT,UDMIS,36,0,1
IBM-sim,UDMIS015EXT,UDMIS,40,0,1
IBM-sim,TSP118,TSP,16,2,0
IBM-sim,MWC321,MWC,25,2,0
IBM-sim,MWC9,MWC,25,1,1
IBM-sim,TSP28,TSP,25,2,0
IBM-sim,TSP170,TSP,16,2,0
IBM-sim,UDMIS088EXT,UDMIS,49,0,1
IBM-sim,UDMIS082EXT,UDMIS,36,0,1
IBM-sim,TSP93,TSP,25,2,0
IBM-sim,MWC162,MWC,15,2,0
IBM-sim,UDMIS3TG,UDMIS,25,1,1
IBM-sim,MWC159,MWC,5,1,1
IBM-sim,UDMIS050EXT,UDMIS,40,0,1
IBM-sim,MWC314,MWC,5,1,1
IBM-sim,TSP80,TSP,25,2,0
IBM-sim,UDMIS076EXT,UDMIS,25,0,1
IBM-sim,TSP132,TSP,25,1,1
IBM-sim,MWC4,MWC,15,2,0
IBM-sim,MWC1,MWC,5,0,2
IBM-sim,UDMIS009EXT,UDMIS,30,1,0
IBM-sim,MWC317,MWC,15,2,0
IBM-sim,MWC237,MWC,5,2,0
IBM-sim,MWC315,MWC,5,1,1
IBM-sim,TSP79,TSP,16,2,0
IBM-sim,MWC6,MWC,15,2,0
IBM-sim,TSP92,TSP,16,2,0
IBM-sim,UDMIS044EXT,UDMIS,30,0,1
IBM-sim,TSP171,TSP,25,2,0
IBM-sim,MWC158,MWC,5,2,0
IBM-sim,TSP41,TSP,25,2,0
IBM-sim,MWC319,MWC,25,2,0
IBM-sim,UDMIS079EXT,UDMIS,30,0,1
IBM-sim,MWC235,MWC,5,2,0
IBM-sim,MWC163,MWC,25,2,0
IBM-sim,TSP184,TSP,25,2,0
IBM-sim,MWC236,MWC,5,2,0
IBM-sim,UDMIS5TG,UDMIS,30,0,2
IBM-sim,UDMIS013EXT,UDMIS,40,0,1
IBM-sim,UDMIS011EXT,UDMIS,36,0,1
IBM-sim,TSP145,TSP,25,1,1
IBM-sim,TSP54,TSP,25,2,0
IBM-sim,MWC80,MWC,5,1,1
IBM-sim,MWC82,MWC,15,2,0
IBM-sim,UDMIS047EXT,UDMIS,36,0,1
IBM-sim,UDMIS045EXT,UDMIS,30,0,1
IBM-sim,UDMIS077EXT,UDMIS,25,1,0
IBM-sim,UDMIS080EXT,UDMIS,30,1,0
IBM-sim,UDMIS008EXT,UDMIS,30,1,0
IBM-sim,MWC86,MWC,25,1,1
IBM-sim,MWC157,MWC,5,1,1
IBM-sim,UDMIS019EXT,UDMIS,60,0,1
IBM-sim,MWC161,MWC,15,2,0
IBM-sim,UDMIS004EXT,UDMIS,25,1,0
IBM-sim,MWC8,MWC,25,2,0
IBM-sim,MWC241,MWC,25,2,0
IBM-sim,UDMIS002EXT,UDMIS,15,1,0
IBM-sim,UDMIS021EXT,UDMIS,60,0,1
IBM-sim,TSP157,TSP,16,2,0
IBM-sim,UDMIS7TG,UDMIS,30,1,1
IBM-sim,UDMIS090EXT,UDMIS,49,0,1
IBM-sim,UDMIS074EXT,UDMIS,15,1,0
IBM-sim,UDMIS087EXT,UDMIS,40,0,1
IBM-sim,UDMIS037EXT,UDMIS,15,1,0
IBM-sim,UDMIS051EXT,UDMIS,40,0,1
IBM-sim,UDMIS043EXT,UDMIS,30,1,0
IBM-sim,TSP106,TSP,25,1,1
IBM-sim,UDMIS003EXT,UDMIS,15,1,0
IBM-sim,MWC239,MWC,15,2,0
IBM-sim,UDMIS4TG,UDMIS,15,2,0
IBM-sim,TSP1,TSP,16,2,0
IBM-sim,MWC3,MWC,5,2,0
IBM-sim,MWC164,MWC,25,2,0
IBM-sim,MWC85,MWC,25,2,0
IBM-sim,UDMIS017EXT,UDMIS,49,0,1
IBM-sim,TSP15,TSP,25,2,0
IBM-sim,MWC160,MWC,15,2,0
IBM-sim,MWC84,MWC,15,2,0
IBM-sim,UDMIS014EXT,UDMIS,40,0,1
IBM-sim,UDMIS040EXT,UDMIS,25,1,0
IBM-sim,UDMIS084EXT,UDMIS,36,0,1
IBM-sim,UDMIS083EXT,UDMIS,36,0,1
IBM-sim,MWC165,MWC,25,2,0
IBM-sim,UDMIS042EXT,UDMIS,25,0,1
IBM-sim,MWC7,MWC,25,2,0
IBM-sim,UDMIS020EXT,UDMIS,60,0,1
IBM-sim,UDMIS006EXT,UDMIS,25,1,0
IBM-sim,UDMIS046EXT,UDMIS,36,0,1
IBM-sim,UDMIS078EXT,UDMIS,25,1,0
IBM-sim,UDMIS048EXT,UDMIS,36,0,1
IBM-sim,TSP119,TSP,25,1,1
IBM-sim,UDMIS049EXT,UDMIS,40,0,1
IBM-sim,UDMIS005EXT,UDMIS,25,1,0
IBM-sim,UDMIS073EXT,UDMIS,15,1,0
IBM-sim,UDMIS075EXT,UDMIS,15,1,0
IBM-sim,UDMIS007EXT,UDMIS,30,1,0
IBM-sim,UDMIS041EXT,UDMIS,25,1,0
IBM-sim,UDMIS039EXT,UDMIS,15,1,0
IBM-sim,UDMIS052EXT,UDMIS,49,0,1
IBM-sim,UDMIS089EXT,UDMIS,49,0,1
IBM-sim,TSP183,TSP,16,2,0
IBM-sim,UDMIS085EXT,UDMIS,40,0,1
IBM-sim,UDMIS018EXT,UDMIS,49,0,1
IBM-sim,UDMIS054EXT,UDMIS,49,0,1
IBM-sim,UDMIS010EXT,UDMIS,36,0,1
IBM-sim,UDMIS016EXT,UDMIS,49,0,1
IBM-sim,UDMIS081EXT,UDMIS,30,1,0
QuEra,UDMIS026EXT,UDMIS,80,1,0
QuEra,UDMIS015EXT,UDMIS,40,1,0
QuEra,UDMIS025EXT,UDMIS,80,1,0
QuEra,UDMIS094EXT,UDMIS,70,1,0
QuEra,UDMIS047EXT,UDMIS,36,1,0
QuEra,UDMIS010EXT,UDMIS,36,1,0
QuEra,UDMIS052EXT,UDMIS,49,1,0
QuEra,UDMIS006EXT,UDMIS,25,1,0
QuEra,UDMIS087EXT,UDMIS,40,1,0
QuEra,UDMIS067EXT,UDMIS,100,1,0
QuEra,UDMIS065EXT,UDMIS,90,1,0
QuEra,UDMIS060EXT,UDMIS,70,1,0
QuEra,UDMIS041EXT,UDMIS,25,1,0
QuEra,UDMIS4TG,UDMIS,15,1,0
QuEra,UDMIS101EXT,UDMIS,90,1,0
QuEra,UDMIS056EXT,UDMIS,60,1,0
QuEra,UDMIS058EXT,UDMIS,70,1,0
QuEra,UDMIS040EXT,UDMIS,25,1,0
QuEra,UDMIS044EXT,UDMIS,30,1,0
QuEra,UDMIS022EXT,UDMIS,70,1,0
QuEra,UDMIS100EXT,UDMIS,90,1,0
QuEra,UDMIS090EXT,UDMIS,49,1,0
QuEra,UDMIS037EXT,UDMIS,15,1,0
QuEra,UDMIS011EXT,UDMIS,36,1,0
QuEra,UDMIS043EXT,UDMIS,30,1,0
QuEra,UDMIS009EXT,UDMIS,30,1,0
QuEra,UDMIS107EXT,UDMIS,120,1,0
QuEra,UDMIS019EXT,UDMIS,60,1,0
QuEra,UDMIS064EXT,UDMIS,90,1,0
QuEra,UDMIS048EXT,UDMIS,36,1,0
QuEra,UDMIS042EXT,UDMIS,25,1,0
QuEra,UDMIS049EXT,UDMIS,40,1,0
QuEra,UDMIS092EXT,UDMIS,60,1,0
QuEra,UDMIS001EXT,UDMIS,15,1,0
QuEra,UDMIS055EXT,UDMIS,60,1,0
QuEra,UDMIS102EXT,UDMIS,90,1,0
QuEra,UDMIS095EXT,UDMIS,70,1,0
QuEra,UDMIS012EXT,UDMIS,36,1,0
QuEra,UDMIS032EXT,UDMIS,100,1,0
QuEra,UDMIS062EXT,UDMIS,80,1,0
QuEra,UDMIS9TG,UDMIS,150,2,0
QuEra,UDMIS070EXT,UDMIS,120,1,0
QuEra,UDMIS039EXT,UDMIS,15,1,0
QuEra,UDMIS8TG,UDMIS,80,2,0
QuEra,UDMIS068EXT,UDMIS,100,1,0
QuEra,UDMIS057EXT,UDMIS,60,1,0
QuEra,UDMIS083EXT,UDMIS,36,1,0
QuEra,UDMIS103EXT,UDMIS,100,1,0
QuEra,UDMIS004EXT,UDMIS,25,1,0
QuEra,UDMIS071EXT,UDMIS,120,1,0
QuEra,UDMIS108EXT,UDMIS,120,1,0
QuEra,UDMIS005EXT,UDMIS,25,1,0
QuEra,UDMIS089EXT,UDMIS,49,1,0
QuEra,UDMIS051EXT,UDMIS,40,1,0
QuEra,UDMIS021EXT,UDMIS,60,1,0
QuEra,UDMIS082EXT,UDMIS,36,1,0
QuEra,UDMIS066EXT,UDMIS,90,1,0
QuEra,UDMIS027EXT,UDMIS,80,1,0
QuEra,UDMIS035EXT,UDMIS,120,1,0
QuEra,UDMIS069EXT,UDMIS,100,1,0
QuEra,UDMIS072EXT,UDMIS,120,1,0
QuEra,UDMIS054EXT,UDMIS,49,1,0
QuEra,UDMIS002EXT,UDMIS,15,1,0
QuEra,UDMIS7TG,UDMIS,30,1,0
QuEra,UDMIS017EXT,UDMIS,49,1,0
QuEra,UDMIS020EXT,UDMIS,60,1,0
QuEra,UDMIS080EXT,UDMIS,30,1,0
QuEra,UDMIS1TG,UDMIS,8,1,0
QuEra,UDMIS099EXT,UDMIS,80,1,0
QuEra,UDMIS6TG,UDMIS,60,1,0
QuEra,UDMIS5TG,UDMIS,30,1,0
QuEra,UDMIS084EXT,UDMIS,36,1,0
QuEra,UDMIS086EXT,UDMIS,40,1,0
QuEra,UDMIS036EXT,UDMIS,120,1,0
QuEra,UDMIS046EXT,UDMIS,36,1,0
QuEra,UDMIS091EXT,UDMIS,60,1,0
QuEra,UDMIS033EXT,UDMIS,100,1,0
QuEra,UDMIS073EXT,UDMIS,15,1,0
QuEra,UDMIS030EXT,UDMIS,90,1,0
QuEra,UDMIS050EXT,UDMIS,40,1,0
QuEra,UDMIS018EXT,UDMIS,49,1,0
QuEra,UDMIS075EXT,UDMIS,15,1,0
QuEra,UDMIS097EXT,UDMIS,80,1,0
QuEra,UDMIS016EXT,UDMIS,49,1,0
QuEra,UDMIS013EXT,UDMIS,40,1,0
QuEra,UDMIS2TG,UDMIS,15,1,0
QuEra,UDMIS077EXT,UDMIS,25,1,0
QuEra,UDMIS061EXT,UDMIS,80,1,0
QuEra,UDMIS104EXT,UDMIS,100,1,0
QuEra,UDMIS079EXT,UDMIS,30,1,0
QuEra,UDMIS098EXT,UDMIS,80,1,0
QuEra,UDMIS029EXT,UDMIS,90,1,0
QuEra,UDMIS3TG,UDMIS,25,1,0
QuEra,UDMIS023EXT,UDMIS,70,1,0
QuEra,UDMIS008EXT,UDMIS,30,1,0
QuEra,UDMIS093EXT,UDMIS,60,1,0
QuEra,UDMIS088EXT,UDMIS,49,1,0
QuEra,UDMIS074EXT,UDMIS,15,1,0
QuEra,UDMIS053EXT,UDMIS,49,1,0
QuEra,UDMIS106EXT,UDMIS,120,1,0
QuEra,UDMIS076EXT,UDMIS,25,1,0
QuEra,UDMIS024EXT,UDMIS,70,1,0
QuEra,UDMIS105EXT,UDMIS,100,1,0
QuEra,UDMIS028EXT,UDMIS,90,1,0
QuEra,UDMIS045EXT,UDMIS,30,1,0
QuEra,UDMIS038EXT,UDMIS,15,1,0
QuEra,UDMIS085EXT,UDMIS,40,1,0
QuEra,UDMIS059EXT,UDMIS,70,1,0
QuEra,UDMIS063EXT,UDMIS,80,1,0
QuEra,UDMIS078EXT,UDMIS,25,1,0
QuEra,UDMIS034EXT,UDMIS,120,1,0
QuEra,UDMIS031EXT,UDMIS,100,1,0
QuEra,UDMIS081EXT,UDMIS,30,1,0
QuEra,UDMIS096EXT,UDMIS,70,1,0
QuEra,UDMIS014EXT,UDMIS,40,1,0
QuEra,UDMIS003EXT,UDMIS,15,1,0
QuEra,UDMIS007EXT,UDMIS,30,1,0
